2020-11-04,Assorted Micrometers,110,,52.5,,,,Starting Price: ,,
2020-11-04,Mitutoyo Micrometer 1-2\",,15,,,43-A-1,,43\,Starting Price: 30,,
2020-11-04,Mitutoyo Micrometer 2-3\",,18.5,,2022-07-19,44-A-1,,44\,Starting Price: 50\,Priority Small,,
2020-11-04,Brown and Sharpe Micrometer 2-3\",,10,,2021-05-18,45-A-1,,45\,Starting Price: 15,,
2020-11-04,Mitutoyo Micrometer 3-4\",,50,,2021-01-31,46-A-1,,46\,Starting Price: 55,,
2020-11-04,NSK Micrometer 4-5\",,20,,2021-02-26,47-A-1,,47\,Starting Price: 20,,
2020-11-04,Mitutoyo Micrometer 5-6\",,,,,48-A-1,,48\,Starting Price: 60,,
2020-11-04,Brown and Sharpe Micrometer 6-7\",,25,,2021-02-11,49-A-1,,49\,Starting Price: 25,,
2020-11-04,Starrett Micrometer 9-12\",,16,,,50-A-1,,50\,Starting Price: 25,,
2020-11-04,Davis Adjustable Micrometer,,8,,2021-04-18,51-A-1,,51\,Starting Price: 30,,
2020-11-04,Lot: (2) IBM Correcting Selectric 3 Typewriters,30,,27,,,,Starting Price: ,,
2020-11-04,IBM Selectric 3 A,,0,,2021-05-26,65-A-1,,65\,Starting Price: ,,
2020-11-04,IBM Selectric 3 B,,57,,,66-A-1,,66\,Starting Price: ,,
2020-11-04,18% Buyer's Premium,108,,-108,,,,Starting Price: ,,
2020-11-04,Kennedy Tool Chest,30,78,48,2021-03-27,54-A-1,,54\,Starting Price: 100\,From Ron at a later estate sale,,
2021-01-07,Miller CST 280,650,,,,,,Starting Price: \,Bought from Mike in Joliet who works at Imperial Construction,,
2021-01-07,Packing Materials,35,,,,,,Starting Price: ,,
2021-02-04,3 Indicators,80,,-47,,,,Starting Price: ,,
2021-02-04,Hamilton .00005 Test Indicator,,,,,,,Starting Price: ,,
2021-02-04,Starrett 643 Indicator,,33,,2021-08-03,59-A-1,,59\,Starting Price: ,,
2021-02-04,Last Word 711-C,,,,,,,Starting Price: #REF!,,
2021-02-04,Endmill Lot,35,,,,,,Starting Price: ,,
2021-02-04,Auction Buyer's Premium,20,,,,,,Starting Price: ,,
2021-02-06,Mitutoyo Micrometer 0-1\" 103-135 ,24,,,,,,Starting Price: \,Bought to replace 0-1 Mit mic in 0-6\" set (This one is correct color),,
2021-03-02,Adler Electric Typewriter,5,0,-5,,67-A-1,,67\,Starting Price: ,,
2021-03-10,Lot 2 tools,40,,-38.75,,,,Starting Price: \,Contour Band Saw\, from Kurt Plechaty,,
2021-03-10,24\" Scherr Tumico Vernier Calipers,,1.25,,2021-05-26,68-A-1,,68\,Starting Price: ,,
2021-03-10,8\" Dial Calipers,,,,,,,Starting Price: ,,
2021-03-16,B&S BesTest .00005\" Indicator 7033-3,60,,,,,,Starting Price: ,,
2021-03-17,Mitutoyo 40\" Vernier Caliper W/ Case,100,282,182,2022-01-27,104-A-1,,104\,Starting Price: \,From Jerry in Sugar Grove,,
2021-03-17,Mitutoyo 18-24 Mic Complete W/ Case,200,550,350,2021-11-21,89-A-1,,89\,Starting Price: ,,
2021-03-23,Shipping Materials,45,,,,,,Starting Price: ,,
2021-03-23,Mitutoyo Micrometers (6-7\, 8-9\, 9-10\, 10-11\, 11-12),132,172.5,40.5,2023-06-29,293-A-1,17\,\,18\,14\,11,293\,Starting Price: ,,
2021-04-15,Clausing 15\" Drill Press,125,900,775,2021-08-21,,,Starting Price: ,,
2021-04-21,Starrett Inside Micrometer 824 D,35,162,127,2021-05-26,63-A-1,,63\,Starting Price: ,,
2021-04-21,Co-axial Indicator,50,,,,,,Starting Price: ,,
2021-04-21,Auction Buyer's Premium,15,,-15,,,,Starting Price: ,,
2021-05-17,Misc Tools,0.99,0.99,0,2021-05-26,64-A-1,,64\,Starting Price: \,Brake Even\, no idea cost,,
2021-05-17,Unmarked Wrench,,,,,,,Starting Price: ,,
2021-05-17,Stanley 12\" Square,,,,,,,Starting Price: ,,
2021-05-17,Milwaukee 2 3/4 Hole Saw + Arbor,,,,,,,Starting Price: ,,
2021-05-17,General Protractor,,,,,,,Starting Price: ,,
2021-05-17,Letter 'I' drill bit unopened,,,,,,,Starting Price: ,,
2021-05-29,Taft Peirce No 192(G) Right Angle Plate,20,,,,,,Starting Price: ,,
2021-05-29,Disston Saw,5,,,,,,Starting Price: ,,
2021-05-29,4 Way Toolpost AXA,20,,,,,,Starting Price: ,,
2021-05-29,Lot 2,,,,,,,Starting Price: ,,
2021-05-29,MT Drill Bits (~25),75,,,,,,Starting Price: ,,
2021-05-29,Counter Bores,75,,,,,,Starting Price: ,,
2021-05-29,Router Bit Set,25,,,,,,Starting Price: ,,
2021-05-29,3 books,10,,,,,,Starting Price: ,,
2021-05-29,7th Ed. American Machinists Handbook,20,,,,,,Starting Price: ,,
2021-05-29,Lot 3,25,,,,,,Starting Price: ,,
2021-05-29,MT2 male to MT3 female,,,,,,,Starting Price: ,,
2021-05-29,Morse Taper Wedges,,,,,,,Starting Price: ,,
2021-05-29,Lot 4,10,,,,,,Starting Price: ,,
2021-05-29,2 Diamond,,,,,,,Starting Price: ,,
2021-05-29,Roughing Shell endmill,,,,,,,Starting Price: ,,
2021-05-29,Tap Magic,,,,,,,Starting Price: ,,
2021-05-29,DoAll Bluing Liquid,,,,,,,Starting Price: ,,
2021-06-03,Metro tech Model 810 A,125,400,275,,82-A-1,,82\,Starting Price: 400\,Heath Industrial: Machinery Exchange 8,,
2021-06-03,Metro tech Model 810 B,125,350,225,,83-A-1,,83\,Starting Price: 400,,
2021-06-03,Metro tech Model 810 C,125,350,225,,84-A-1,,84\,Starting Price: 400,,
2021-06-03,2 Cutting Torch Head,5,,,,,,Starting Price: ,,
2021-06-03,Reliance Electric Maxpak Plus A,15,,,,85-A-1,,85\,Starting Price: \,In Storage,,
2021-06-03,Reliance Electric Maxpak Plus B,15,,,,86-A-1,,86\,Starting Price: \,In Storage,,
2021-06-03,Danfoss Type 3002 Variable Speed Drive A,25,0.01,-24.99,2023-02-10,80-A-1,,80\,Starting Price: ,,
2021-06-03,Danfoss Type 3002 Variable Speed Drive B,35,1,-34,2023-02-10,81-A-1,,81\,Starting Price: ,,
2021-06-03,B&S No. 2 Dividing Head W/ Tailstock,175,,,,,,Starting Price: ,,
2021-06-03,19 Gas Valves,15,15,0,,,,Starting Price: ,,
2021-06-03,A,,,,,,,Starting Price: ,,
2021-06-03,B,,,,,72-A-1,,72\,Starting Price: ,,
2021-06-03,C White Rodgers 36E93 301,,15,,2021-08-10,73-A-1,,73\,Starting Price: ,,
2021-06-03,D,,,,,74-A-1,,74\,Starting Price: ,,
2021-06-03,E W/R 36E94 301,,,,,69-A-1,,69\,Starting Price: ,,
2021-06-03,F W/R 36E94 301,,,,,70-A-1,,70\,Starting Price: ,,
2021-06-03,G W/R 36E94 301,,,,,71-A-1,,71\,Starting Price: ,,
2021-06-03,H W/R 36E98 203,,,,,75-A-1,,75\,Starting Price: ,,
2021-06-03,I W/R 36E98 201,,,,,76-A-1,,76\,Starting Price: ,,
2021-06-03,J W/R 36E98 203,,,,,77-A-1,,77\,Starting Price: ,,
2021-06-03,K,,,,,,,Starting Price: ,,
2021-06-03,L,,,,,,,Starting Price: ,,
2021-06-03,M,,,,,,,Starting Price: ,,
2021-06-03,N Honeywell VR800A 1608,,,,,78-A-1,,78\,Starting Price: ,,
2021-06-03,O,,,,,,,Starting Price: ,,
2021-06-03,P,,,,,,,Starting Price: ,,
2021-06-03,Q,,,,,,,Starting Price: ,,
2021-06-03,R,,,,,,,Starting Price: ,,
2021-06-03,S,,,,,,,Starting Price: ,,
2021-06-03,Auct Premium,118.8,,,,,,Starting Price: ,,
2021-06-03,Tax,77.88,,,,,,Starting Price: ,,
2021-06-10,Batteries for MeteroTech 810's,60,0,-60,,,,Starting Price: ,,
2021-06-11,Lot Astd U-Joints Wheel Bearings and Seals,150,,,,,,Starting Price: ,,
2021-06-11,Box Astd Pulleys,,0,,2022-09-30,148-A-1,34\,\,17\,11\,10,148\,Starting Price: Did not sell thrown out,,
2021-06-11,Box Springs,,,,,,,Starting Price: ,,
